ProductKey,OrderDateKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount
218,20050701,1,SO43665,9,1,6,5.7,34.2
349,20050701,1,SO43665,10,1,1,2024.994,2024.994
330,20050701,4,SO43666,1,1,1,419.4589,419.4589
314,20050701,4,SO43666,2,1,1,2146.962,2146.962
275,20050701,4,SO43666,3,1,1,356.898,356.898
317,20050701,4,SO43666,4,1,1,874.794,874.794
338,20050701,4,SO43666,5,1,2,419.4589,838.9178
334,20050701,4,SO43666,6,1,1,419.4589,419.4589
219,20050701,3,SO43667,1,1,3,5.7,17.1
346,20050701,3,SO43667,2,1,1,2039.994,2039.994
351,20050701,3,SO43667,3,1,1,2024.994,2024.994
348,20050701,3,SO43667,4,1,1,2024.994,2024.994
317,20050701,6,SO43668,1,1,3,874.794,2624.382
314,20050701,6,SO43668,2,1,2,2146.962,4293.924
322,20050701,6,SO43668,3,1,7,419.4589,2936.2123
332,20050701,6,SO43668,4,1,6,419.4589,2516.7534
232,20050701,6,SO43668,5,1,6,28.8404,173.0424
272,20050701,6,SO43668,6,1,6,183.9382,1103.6292
212,20050701,6,SO43668,7,1,2,20.1865,40.373
220,20050701,6,SO43668,8,1,2,20.1865,40.373
315,20050701,6,SO43668,9,1,2,874.794,1749.588
223,20050701,6,SO43668,10,1,4,5.1865,20.746
270,20050701,6,SO43668,11,1,2,183.9382,367.8764
316,20050701,6,SO43668,12,1,3,874.794,2624.382
324,20050701,6,SO43668,13,1,3,419.4589,1258.3767
342,20050701,6,SO43668,14,1,2,419.4589,838.9178
264,20050701,6,SO43668,15,1,3,183.9382,551.8146
330,20050701,6,SO43668,16,1,2,419.4589,838.9178
334,20050701,6,SO43668,17,1,2,419.4589,838.9178
262,20050701,6,SO43668,18,1,2,183.9382,367.8764
235,20050701,6,SO43668,19,1,1,28.8404,28.8404
338,20050701,6,SO43668,20,1,2,419.4589,838.9178
275,20050701,6,SO43668,21,1,4,356.898,1427.592
319,20050701,6,SO43668,22,1,6,874.794,5248.764
326,20050701,6,SO43668,23,1,4,419.4589,1677.8356
285,20050701,6,SO43668,24,1,3,178.5808,535.7424
229,20050701,6,SO43668,25,1,4,28.8404,115.3616
253,20050701,6,SO43668,26,1,3,178.5808,535.7424
215,20050701,6,SO43668,27,1,1,20.1865,20.1865
276,20050701,6,SO43668,28,1,3,356.898,1070.694
328,20050701,6,SO43668,29,1,3,419.4589,1258.3767
304,20050701,1,SO43669,1,1,1,714.7043,714.7043
219,20050701,3,SO43670,1,1,1,5.7,5.7
218,20050701,3,SO43670,2,1,2,5.7,11.4
346,20050701,3,SO43670,3,1,2,2039.994,4079.988
349,20050701,3,SO43670,4,1,1,2024.994,2024.994
314,20050701,1,SO43671,1,1,1,2146.962,2146.962
229,20050701,1,SO43671,2,1,2,28.8404,57.6808
317,20050701,1,SO43671,3,1,1,874.794,874.794
338,20050701,1,SO43671,4,1,2,419.4589,838.9178
275,20050701,1,SO43671,5,1,2,356.898,713.796
328,20050701,1,SO43671,6,1,2,419.4589,838.9178
316,20050701,1,SO43671,7,1,2,874.794,1749.588
330,20050701,1,SO43671,8,1,2,419.4589,838.9178
235,20050701,1,SO43671,9,1,1,28.8404,28.8404
220,20050701,1,SO43671,10,1,1,20.1865,20.1865
215,20050701,1,SO43671,11,1,1,20.1865,20.1865
218,20050701,6,SO43672,1,1,6,5.7,34.2
349,20050701,6,SO43672,2,1,2,2024.994,4049.988
347,20050701,6,SO43672,3,1,1,2039.994,2039.994
315,20050701,2,SO43673,1,1,1,874.794,874.794
232,20050701,2,SO43673,2,1,3,28.8404,86.5212
270,20050701,2,SO43673,3,1,1,183.9382,183.9382
324,20050701,2,SO43673,4,1,2,419.4589,838.9178
326,20050701,2,SO43673,5,1,1,419.4589,419.4589
285,20050701,2,SO43673,6,1,2,178.5808,357.1616
342,20050701,2,SO43673,7,1,2,419.4589,838.9178
223,20050701,2,SO43673,8,1,1,5.1865,5.1865
215,20050701,2,SO43673,9,1,2,20.1865,40.373
220,20050701,2,SO43673,10,1,1,20.1865,20.1865
212,20050701,2,SO43673,11,1,4,20.1865,80.746
319,20050701,6,SO43674,1,1,3,874.794,2624.382
324,20050701,3,SO43675,1,1,4,419.4589,1677.8356
220,20050701,3,SO43675,2,1,5,20.1865,100.9325
285,20050701,3,SO43675,3,1,2,178.5808,357.1616
215,20050701,3,SO43675,4,1,1,20.1865,20.1865
326,20050701,3,SO43675,5,1,2,419.4589,838.9178
319,20050701,3,SO43675,6,1,2,874.794,1749.588
223,20050701,3,SO43675,7,1,2,5.1865,10.373
315,20050701,3,SO43675,8,1,1,874.794,874.794
232,20050701,3,SO43675,9,1,3,28.8404,86.5212
349,20050701,5,SO43676,1,1,2,2024.994,4049.988
351,20050701,5,SO43676,2,1,2,2024.994,4049.988
219,20050701,5,SO43676,3,1,1,5.7,5.7
348,20050701,5,SO43676,4,1,3,2024.994,6074.982
218,20050701,5,SO43676,5,1,4,5.7,22.8
232,20050701,6,SO43677,1,1,3,28.8404,86.5212
314,20050701,6,SO43677,2,1,1,2146.962,2146.962
319,20050701,6,SO43677,3,1,1,874.794,874.794
342,20050701,6,SO43677,4,1,1,419.4589,419.4589
215,20050701,6,SO43677,5,1,2,20.1865,40.373
322,20050701,6,SO43677,6,1,4,419.4589,1677.8356
332,20050701,6,SO43677,7,1,2,419.4589,838.9178
328,20050701,6,SO43677,8,1,1,419.4589,419.4589
223,20050701,6,SO43677,9,1,5,5.1865,25.9325
212,20050701,6,SO43677,10,1,1,20.1865,20.1865
315,20050701,6,SO43677,11,1,1,874.794,874.794
270,20050701,6,SO43677,12,1,2,183.9382,367.8764
322,20050701,4,SO43678,1,1,1,419.4589,419.4589
285,20050701,4,SO43678,2,1,2,178.5808,357.1616
332,20050701,4,SO43678,3,1,1,419.4589,419.4589
275,20050701,4,SO43678,4,1,2,356.898,713.796
326,20050701,4,SO43678,5,1,3,419.4589,1258.3767
324,20050701,4,SO43678,6,1,2,419.4589,838.9178
223,20050701,4,SO43678,7,1,3,5.1865,15.5595
215,20050701,4,SO43678,8,1,4,20.1865,80.746
270,20050701,4,SO43678,9,1,2,183.9382,367.8764
317,20050701,4,SO43678,10,1,1,874.794,874.794
262,20050701,4,SO43678,11,1,2,183.9382,367.8764
235,20050701,4,SO43678,12,1,1,28.8404,28.8404
342,20050701,4,SO43678,13,1,1,419.4589,419.4589
319,20050701,4,SO43678,14,1,2,874.794,1749.588
232,20050701,4,SO43678,15,1,2,28.8404,57.6808
315,20050701,4,SO43678,16,1,1,874.794,874.794
316,20050701,4,SO43678,17,1,1,874.794,874.794
220,20050701,4,SO43678,18,1,3,20.1865,60.5595
212,20050701,4,SO43678,19,1,1,20.1865,20.1865
322,20050701,6,SO43679,1,1,1,419.4589,419.4589
342,20050701,6,SO43679,2,1,2,419.4589,838.9178
232,20050701,6,SO43679,3,1,2,28.8404,57.6808
322,20050701,4,SO43680,1,1,3,419.4589,1258.3767
317,20050701,4,SO43680,2,1,2,874.794,1749.588
285,20050701,4,SO43680,3,1,2,178.5808,357.1616
212,20050701,4,SO43680,4,1,4,20.1865,80.746
270,20050701,4,SO43680,5,1,1,183.9382,183.9382
220,20050701,4,SO43680,6,1,1,20.1865,20.1865
232,20050701,4,SO43680,7,1,2,28.8404,57.6808
262,20050701,4,SO43680,8,1,2,183.9382,367.8764
319,20050701,4,SO43680,9,1,1,874.794,874.794
324,20050701,4,SO43680,10,1,1,419.4589,419.4589
314,20050701,4,SO43680,11,1,2,2146.962,4293.924
215,20050701,4,SO43680,12,1,2,20.1865,40.373
332,20050701,4,SO43680,13,1,3,419.4589,1258.3767
223,20050701,4,SO43680,14,1,3,5.1865,15.5595
328,20050701,4,SO43680,15,1,1,419.4589,419.4589
232,20050701,5,SO43681,1,1,6,28.8404,173.0424
326,20050701,5,SO43681,2,1,5,419.4589,2097.2945
275,20050701,5,SO43681,3,1,1,356.898,356.898
212,20050701,5,SO43681,4,1,1,20.1865,20.1865
270,20050701,5,SO43681,5,1,1,183.9382,183.9382
215,20050701,5,SO43681,6,1,2,20.1865,40.373
342,20050701,5,SO43681,7,1,3,419.4589,1258.3767
272,20050701,5,SO43681,8,1,2,183.9382,367.8764
319,20050701,5,SO43681,9,1,3,874.794,2624.382
338,20050701,5,SO43681,10,1,1,419.4589,419.4589
324,20050701,5,SO43681,11,1,2,419.4589,838.9178
285,20050701,5,SO43681,12,1,2,178.5808,357.1616
314,20050701,5,SO43681,13,1,1,2146.962,2146.962
229,20050701,5,SO43681,14,1,2,28.8404,57.6808
330,20050701,5,SO43681,15,1,2,419.4589,838.9178
322,20050701,5,SO43681,16,1,2,419.4589,838.9178
317,20050701,5,SO43681,17,1,1,874.794,874.794
235,20050701,5,SO43681,18,1,2,28.8404,57.6808
220,20050701,5,SO43681,19,1,2,20.1865,40.373
262,20050701,5,SO43681,20,1,1,183.9382,183.9382
223,20050701,5,SO43681,21,1,2,5.1865,10.373
319,20050701,2,SO43682,1,1,2,874.794,1749.588
326,20050701,2,SO43682,2,1,1,419.4589,419.4589
322,20050701,2,SO43682,3,1,2,419.4589,838.9178
342,20050701,2,SO43682,4,1,2,419.4589,838.9178
232,20050701,2,SO43682,5,1,1,28.8404,28.8404
349,20050701,1,SO43683,1,1,2,2024.994,4049.988
232,20050701,1,SO43683,2,1,2,28.8404,57.6808
346,20050701,1,SO43683,3,1,2,2039.994,4079.988
347,20050701,1,SO43683,4,1,1,2039.994,2039.994
215,20050701,1,SO43683,5,1,1,20.1865,20.1865
220,20050701,1,SO43683,6,1,2,20.1865,40.373
223,20050701,1,SO43683,7,1,3,5.1865,15.5595
348,20050701,1,SO43683,8,1,4,2024.994,8099.976
350,20050701,1,SO43683,9,1,6,2024.994,12149.964
345,20050701,1,SO43683,10,1,1,2039.994,2039.994
212,20050701,1,SO43683,11,1,3,20.1865,60.5595
351,20050701,1,SO43683,12,1,5,2024.994,10124.97
218,20050701,1,SO43683,13,1,6,5.7,34.2
315,20050701,5,SO43684,1,1,2,874.794,1749.588
326,20050701,5,SO43684,2,1,2,419.4589,838.9178
322,20050701,5,SO43684,3,1,1,419.4589,419.4589
319,20050701,5,SO43684,4,1,2,874.794,1749.588
342,20050701,5,SO43684,5,1,1,419.4589,419.4589
328,20050701,5,SO43684,6,1,1,419.4589,419.4589
332,20050701,5,SO43685,1,1,3,419.4589,1258.3767
328,20050701,5,SO43685,2,1,1,419.4589,419.4589
315,20050701,5,SO43685,3,1,1,874.794,874.794
262,20050701,5,SO43685,4,1,1,183.9382,183.9382
319,20050701,1,SO43686,1,1,3,874.794,2624.382
326,20050701,1,SO43686,2,1,1,419.4589,419.4589
342,20050701,1,SO43686,3,1,1,419.4589,419.4589
338,20050701,2,SO43687,1,1,1,419.4589,419.4589
332,20050701,2,SO43687,2,1,2,419.4589,838.9178
262,20050701,2,SO43688,1,1,1,183.9382,183.9382
322,20050701,2,SO43688,2,1,2,419.4589,838.9178
326,20050701,2,SO43688,3,1,3,419.4589,1258.3767
285,20050701,2,SO43688,4,1,1,178.5808,178.5808
328,20050701,2,SO43688,5,1,1,419.4589,419.4589
270,20050701,2,SO43688,6,1,2,183.9382,367.8764
315,20050701,2,SO43688,7,1,2,874.794,1749.588
319,20050701,2,SO43688,8,1,2,874.794,1749.588
332,20050701,2,SO43688,9,1,3,419.4589,1258.3767
342,20050701,2,SO43688,10,1,1,419.4589,419.4589
314,20050701,2,SO43688,11,1,2,2146.962,4293.924
330,20050701,4,SO43689,1,1,3,419.4589,1258.3767
285,20050701,4,SO43689,2,1,2,178.5808,357.1616
262,20050701,4,SO43689,3,1,2,183.9382,367.8764
314,20050701,4,SO43689,4,1,1,2146.962,2146.962
316,20050701,4,SO43689,5,1,2,874.794,1749.588
334,20050701,4,SO43689,6,1,4,419.4589,1677.8356
342,20050701,4,SO43689,7,1,2,419.4589,838.9178
322,20050701,4,SO43689,8,1,7,419.4589,2936.2123
264,20050701,4,SO43689,9,1,3,183.9382,551.8146
253,20050701,4,SO43689,10,1,1,178.5808,178.5808
328,20050701,4,SO43689,11,1,6,419.4589,2516.7534
270,20050701,4,SO43689,12,1,2,183.9382,367.8764
272,20050701,4,SO43689,13,1,2,183.9382,367.8764
275,20050701,4,SO43689,14,1,2,356.898,713.796
332,20050701,4,SO43689,15,1,5,419.4589,2097.2945
338,20050701,4,SO43689,16,1,2,419.4589,838.9178
324,20050701,4,SO43689,17,1,2,419.4589,838.9178
319,20050701,4,SO43689,18,1,3,874.794,2624.382
310,20050701,4,SO43689,19,1,2,2146.962,4293.924
326,20050701,4,SO43689,20,1,9,419.4589,3775.1301
315,20050701,4,SO43689,21,1,4,874.794,3499.176
232,20050701,3,SO43690,1,1,1,28.8404,28.8404
342,20050701,3,SO43690,2,1,1,419.4589,419.4589
223,20050701,3,SO43690,3,1,2,5.1865,10.373
322,20050701,3,SO43690,4,1,2,419.4589,838.9178
319,20050701,4,SO43691,1,1,1,874.794,874.794
342,20050701,4,SO43692,1,1,5,419.4589,2097.2945
262,20050701,4,SO43692,2,1,1,183.9382,183.9382
315,20050701,4,SO43692,3,1,8,874.794,6998.352
272,20050701,4,SO43692,4,1,2,183.9382,367.8764
232,20050701,4,SO43692,5,1,10,28.8404,288.404
338,20050701,4,SO43692,6,1,1,419.4589,419.4589
317,20050701,4,SO43692,7,1,4,874.794,3499.176
285,20050701,4,SO43692,8,1,2,178.5808,357.1616
319,20050701,4,SO43692,9,1,8,874.794,6998.352
215,20050701,4,SO43692,10,1,3,20.1865,60.5595
326,20050701,4,SO43692,11,1,6,419.4589,2516.7534
275,20050701,4,SO43692,12,1,3,356.898,1070.694
223,20050701,4,SO43692,13,1,6,5.1865,31.119
229,20050701,4,SO43692,14,1,4,28.8404,115.3616
322,20050701,4,SO43692,15,1,7,419.4589,2936.2123
316,20050701,4,SO43692,16,1,2,874.794,1749.588
235,20050701,4,SO43692,17,1,4,28.8404,115.3616
332,20050701,4,SO43692,18,1,2,419.4589,838.9178
330,20050701,4,SO43692,19,1,1,419.4589,419.4589
314,20050701,4,SO43692,20,1,2,2146.962,4293.924
334,20050701,4,SO43692,21,1,1,419.4589,419.4589
253,20050701,4,SO43692,22,1,1,178.5808,178.5808
324,20050701,4,SO43692,23,1,3,419.4589,1258.3767
220,20050701,4,SO43692,24,1,3,20.1865,60.5595
328,20050701,4,SO43692,25,1,1,419.4589,419.4589
270,20050701,4,SO43692,26,1,2,183.9382,367.8764
212,20050701,4,SO43692,27,1,4,20.1865,80.746
264,20050701,4,SO43692,28,1,2,183.9382,367.8764
235,20050701,5,SO43693,1,1,3,28.8404,86.5212
346,20050701,5,SO43693,2,1,1,2039.994,2039.994
218,20050701,5,SO43693,3,1,6,5.7,34.2
212,20050701,5,SO43693,4,1,2,20.1865,40.373
344,20050701,5,SO43693,5,1,3,2039.994,6119.982
215,20050701,5,SO43693,6,1,2,20.1865,40.373
347,20050701,5,SO43693,7,1,1,2039.994,2039.994
350,20050701,5,SO43693,8,1,3,2024.994,6074.982
345,20050701,5,SO43693,9,1,1,2039.994,2039.994
351,20050701,5,SO43693,10,1,1,2024.994,2024.994
349,20050701,5,SO43694,1,1,3,2024.994,6074.982
344,20050701,5,SO43694,2,1,3,2039.994,6119.982
232,20050701,5,SO43694,3,1,2,28.8404,57.6808
345,20050701,5,SO43694,4,1,1,2039.994,2039.994
235,20050701,5,SO43694,5,1,3,28.8404,86.5212
212,20050701,5,SO43694,6,1,1,20.1865,20.1865
215,20050701,5,SO43694,7,1,1,20.1865,20.1865
347,20050701,5,SO43694,8,1,1,2039.994,2039.994
346,20050701,5,SO43694,9,1,2,2039.994,4079.988
223,20050701,5,SO43694,10,1,1,5.1865,5.1865
220,20050701,5,SO43694,11,1,5,20.1865,100.9325
347,20050701,5,SO43695,1,1,2,2039.994,4079.988
307,20050701,5,SO43695,2,1,2,722.5949,1445.1898
304,20050701,5,SO43695,3,1,1,714.7043,714.7043
293,20050701,5,SO43695,4,1,1,722.5949,722.5949
350,20050701,5,SO43695,5,1,5,2024.994,10124.97
351,20050701,5,SO43695,6,1,6,2024.994,12149.964
218,20050701,5,SO43695,7,1,2,5.7,11.4
348,20050701,5,SO43695,8,1,5,2024.994,10124.97
326,20050701,5,SO43696,1,1,1,419.4589,419.4589
347,20050801,3,SO43843,1,1,2,2039.994,4079.988
351,20050801,3,SO43843,2,1,2,2024.994,4049.988
293,20050801,3,SO43843,3,1,2,722.5949,1445.1898
350,20050801,3,SO43843,4,1,5,2024.994,10124.97
307,20050801,3,SO43843,5,1,2,722.5949,1445.1898
292,20050801,3,SO43843,6,1,1,818.7,818.7
300,20050801,3,SO43843,7,1,1,809.76,809.76
344,20050801,3,SO43843,8,1,2,2039.994,4079.988
218,20050801,3,SO43843,9,1,2,5.7,11.4
349,20050801,3,SO43843,10,1,3,2024.994,6074.982
348,20050801,6,SO43844,1,1,4,2024.994,8099.976
349,20050801,6,SO43844,2,1,2,2024.994,4049.988
350,20050801,6,SO43844,3,1,3,2024.994,6074.982
351,20050801,6,SO43844,4,1,1,2024.994,2024.994
262,20050801,5,SO43845,1,1,1,183.9382,183.9382
232,20050801,5,SO43845,2,1,3,28.8404,86.5212
342,20050801,5,SO43845,3,1,1,419.4589,419.4589
328,20050801,5,SO43845,4,1,2,419.4589,838.9178
324,20050801,5,SO43845,5,1,2,419.4589,838.9178
315,20050801,5,SO43845,6,1,1,874.794,874.794
332,20050801,5,SO43845,7,1,2,419.4589,838.9178
314,20050801,5,SO43845,8,1,2,2146.962,4293.924
270,20050801,5,SO43845,9,1,1,183.9382,183.9382
223,20050801,5,SO43845,10,1,4,5.1865,20.746
270,20050801,6,SO43846,1,1,3,183.9382,551.8146
223,20050801,6,SO43846,2,1,1,5.1865,5.1865
285,20050801,6,SO43846,3,1,1,178.5808,178.5808
262,20050801,6,SO43846,4,1,1,183.9382,183.9382
232,20050801,6,SO43847,1,1,1,28.8404,28.8404
223,20050801,6,SO43847,2,1,1,5.1865,5.1865
319,20050801,6,SO43847,3,1,1,874.794,874.794
346,20050801,1,SO43848,1,1,1,2039.994,2039.994
351,20050801,1,SO43848,2,1,1,2024.994,2024.994
348,20050801,1,SO43848,3,1,1,2024.994,2024.994
349,20050801,1,SO43848,4,1,4,2024.994,8099.976
344,20050801,1,SO43848,5,1,2,2039.994,4079.988
349,20050801,1,SO43849,1,1,2,2024.994,4049.988
229,20050801,1,SO43849,2,1,1,28.8404,28.8404
350,20050801,1,SO43849,3,1,2,2024.994,4049.988
344,20050801,1,SO43849,4,1,2,2039.994,4079.988
220,20050801,1,SO43849,5,1,1,20.1865,20.1865
346,20050801,1,SO43849,6,1,1,2039.994,2039.994
232,20050801,1,SO43849,7,1,4,28.8404,115.3616
345,20050801,1,SO43849,8,1,1,2039.994,2039.994
212,20050801,1,SO43849,9,1,1,20.1865,20.1865
347,20050801,1,SO43849,10,1,2,2039.994,4079.988
215,20050801,1,SO43849,11,1,1,20.1865,20.1865
332,20050801,6,SO43850,1,1,1,419.4589,419.4589
316,20050801,6,SO43850,2,1,1,874.794,874.794
324,20050801,6,SO43850,3,1,1,419.4589,419.4589
326,20050801,6,SO43850,4,1,2,419.4589,838.9178
314,20050801,6,SO43850,5,1,1,2146.962,2146.962
262,20050801,6,SO43850,6,1,3,183.9382,551.8146
270,20050801,6,SO43850,7,1,1,183.9382,183.9382
319,20050801,6,SO43850,8,1,3,874.794,2624.382
317,20050801,6,SO43850,9,1,1,874.794,874.794
275,20050801,6,SO43850,10,1,3,356.898,1070.694
285,20050801,6,SO43850,11,1,1,178.5808,178.5808
324,20050801,2,SO43851,1,1,2,419.4589,838.9178
322,20050801,2,SO43851,2,1,1,419.4589,419.4589
220,20050801,2,SO43851,3,1,1,20.1865,20.1865
342,20050801,2,SO43851,4,1,3,419.4589,1258.3767
212,20050801,2,SO43851,5,1,1,20.1865,20.1865
262,20050801,2,SO43851,6,1,1,183.9382,183.9382
315,20050801,2,SO43851,7,1,1,874.794,874.794
285,20050801,2,SO43851,8,1,3,178.5808,535.7424
314,20050801,2,SO43851,9,1,1,2146.962,2146.962
332,20050801,2,SO43851,10,1,1,419.4589,419.4589
223,20050801,2,SO43851,11,1,1,5.1865,5.1865
215,20050801,2,SO43851,12,1,3,20.1865,60.5595
349,20050801,6,SO43852,1,1,1,2024.994,2024.994
350,20050801,6,SO43853,1,1,2,2024.994,4049.988
346,20050801,6,SO43853,2,1,1,2039.994,2039.994
344,20050801,6,SO43853,3,1,1,2039.994,2039.994
349,20050801,6,SO43853,4,1,4,2024.994,8099.976
348,20050801,6,SO43853,5,1,2,2024.994,4049.988
351,20050801,6,SO43853,6,1,3,2024.994,6074.982
319,20050801,6,SO43854,1,1,2,874.794,1749.588
332,20050801,6,SO43855,1,1,2,419.4589,838.9178
322,20050801,6,SO43855,2,1,2,419.4589,838.9178
314,20050801,6,SO43855,3,1,1,2146.962,2146.962
324,20050801,6,SO43855,4,1,4,419.4589,1677.8356
285,20050801,6,SO43855,5,1,1,178.5808,178.5808
326,20050801,6,SO43855,6,1,3,419.4589,1258.3767
275,20050801,6,SO43855,7,1,2,356.898,713.796
334,20050801,6,SO43855,8,1,1,419.4589,419.4589
264,20050801,6,SO43855,9,1,1,183.9382,183.9382
342,20050801,6,SO43855,10,1,2,419.4589,838.9178
262,20050801,6,SO43855,11,1,1,183.9382,183.9382
316,20050801,6,SO43855,12,1,1,874.794,874.794
338,20050801,6,SO43855,13,1,2,419.4589,838.9178
218,20050801,6,SO43856,1,1,2,5.7,11.4
350,20050801,6,SO43856,2,1,1,2024.994,2024.994
322,20050801,6,SO43857,1,1,1,419.4589,419.4589
332,20050801,6,SO43857,2,1,1,419.4589,419.4589
326,20050801,6,SO43857,3,1,2,419.4589,838.9178
319,20050801,6,SO43857,4,1,3,874.794,2624.382
232,20050801,6,SO43857,5,1,1,28.8404,28.8404
223,20050801,6,SO43857,6,1,3,5.1865,15.5595
235,20050801,6,SO43857,7,1,1,28.8404,28.8404
262,20050801,6,SO43857,8,1,1,183.9382,183.9382
220,20050801,6,SO43857,9,1,2,20.1865,40.373
215,20050801,6,SO43857,10,1,1,20.1865,20.1865
285,20050801,6,SO43857,11,1,2,178.5808,357.1616
328,20050801,6,SO43857,12,1,1,419.4589,419.4589
315,20050801,6,SO43857,13,1,2,874.794,1749.588
212,20050801,6,SO43857,14,1,2,20.1865,40.373
326,20050801,2,SO43858,1,1,2,419.4589,838.9178
324,20050801,2,SO43858,2,1,2,419.4589,838.9178
342,20050801,2,SO43858,3,1,5,419.4589,2097.2945
332,20050801,2,SO43858,4,1,1,419.4589,419.4589
285,20050801,2,SO43858,5,1,2,178.5808,357.1616
328,20050801,2,SO43858,6,1,3,419.4589,1258.3767
315,20050801,2,SO43858,7,1,2,874.794,1749.588
253,20050801,2,SO43858,8,1,1,178.5808,178.5808
314,20050801,2,SO43858,9,1,2,2146.962,4293.924
264,20050801,2,SO43858,10,1,1,183.9382,183.9382
334,20050801,2,SO43858,11,1,1,419.4589,419.4589
270,20050801,2,SO43858,12,1,1,183.9382,183.9382
317,20050801,2,SO43858,13,1,1,874.794,874.794
232,20050801,4,SO43859,1,1,1,28.8404,28.8404
326,20050801,4,SO43859,2,1,1,419.4589,419.4589
319,20050801,4,SO43859,3,1,3,874.794,2624.382
322,20050801,4,SO43859,4,1,2,419.4589,838.9178
324,20050801,1,SO43860,1,1,2,419.4589,838.9178
342,20050801,1,SO43860,2,1,1,419.4589,419.4589
319,20050801,1,SO43860,3,1,2,874.794,1749.588
332,20050801,1,SO43860,4,1,2,419.4589,838.9178
275,20050801,1,SO43860,5,1,1,356.898,356.898
